zebrafish_gene,human_gene,source_gene,marker_class,marker_subclass,mapping_direction,mapping_database,evidence_status,pathway_sources,n_external_sources,selection_rule,zfin_ids,zfin_evidence_codes,zfin_publications,source_urls,present_in_zfin_dump
dab2ipa,DAB2IP,DAB2IP,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-081104-516,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-101222-14,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
dab2ipb,DAB2IP,DAB2IP,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-2449,AA;CL,ZDB-PUB-050823-6;ZDB-PUB-061031-2,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
fadd,FADD,FADD,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070606-3,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
fas,FAS,FAS,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-061019-2,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
faslg,FASLG,FASLG,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070410-16,AA;CL;PT,ZDB-PUB-030905-1;ZDB-PUB-090716-24;ZDB-PUB-150325-24;ZDB-PUB-211003-9,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
tnfrsf1a,TNFRSF1A,TNFRSF1A,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-2252,AA;CL,ZDB-PUB-030905-1,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
tnfsf10,TNFSF10,TNFSF10,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040718-335,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-150325-24,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
tnfsf10l,TNFSF10,TNFSF10,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-010801-1,AA,ZDB-PUB-050823-6,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
tradd,TRADD,TRADD,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000511-5,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
aifm1,AIFM1,AIFM1,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030826-11,AA,ZDB-PUB-030905-1,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
apaf1,APAF1,APAF1,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000616-4,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-071129-8,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
badb,BAD,BAD,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000616-1,AA;CL,ZDB-PUB-010813-1;ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
baxa,BAX,BAX,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000511-6,AA;CL;PT,ZDB-PUB-030905-1;ZDB-PUB-060816-5;ZDB-PUB-160407-7,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
baxb,BAX,BAX,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050227-21,AA;CL;PT,ZDB-PUB-060816-5;ZDB-PUB-160407-7,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
bbc3,BBC3,BBC3,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070119-4,AA;CL,ZDB-PUB-060816-5;ZDB-PUB-121012-30,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
bcl2l11,BCL2L11,BCL2L11,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-081008-1,AA,ZDB-PUB-080415-12,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
bida,BID,BID,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050419-35,AA,ZDB-PUB-060816-5,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
bnip3la,BNIP3L,BNIP3L,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,previous_reviewed_core_panel,0,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-2283,AA;CL,ZDB-PUB-030905-1,https://zfin.org/downloads/human_orthos.txt,True
bnip3lb,BNIP3L,BNIP3L,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,previous_reviewed_core_panel,0,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040325-1,AA;CL,ZDB-PUB-030905-1,https://zfin.org/downloads/human_orthos.txt,True
casp9,CASP9,CASP9,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030825-5,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
diablob,DIABLO,DIABLO,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070112-202,AA,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
endog,ENDOG,ENDOG,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050522-402,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-101222-14,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
OMA1,OMA1,OMA1,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-091204-124,AA;CL;PT,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
dap3,DAP3,DAP3,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,previous_reviewed_core_panel,0,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-051129-2,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-150918-13,https://zfin.org/downloads/human_orthos.txt,True
dapk1,DAPK1,DAPK1,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-060526-177,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-120706-8,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
dapk2a,DAPK2,DAPK2,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-080402-8,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
dapk3,DAPK3,DAPK3,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-3026,AA;CL;NT,ZDB-PUB-050823-6;ZDB-PUB-071029-6;ZDB-PUB-140702-3,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
ddit3,DDIT3,DDIT3,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070410-90,AA;CL;PT,ZDB-PUB-030905-1;ZDB-PUB-160925-2,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
eif2ak3,EIF2AK3,EIF2AK3,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050414-2,AA;CL,ZDB-PUB-030905-1,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
map3k5,MAP3K5,MAP3K5,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030827-3,AA;CL;PT,ZDB-PUB-030905-1;ZDB-PUB-140513-246;ZDB-PUB-160816-2,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
prkcda,PRKCD,PRKCD,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-6503,AA;CL;NT;PT,ZDB-PUB-030905-1;ZDB-PUB-181109-11,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
prkcdb,PRKCD,PRKCD,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-111129-1,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
tp53,TP53,TP53,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-990415-270,AA;CL;OT,ZDB-PUB-001205-3;ZDB-PUB-050105-1;ZDB-PUB-050823-6;ZDB-PUB-051207-21;ZDB-PUB-060124-13;ZDB-PUB-140513-455;ZDB-PUB-140905-12;ZDB-PUB-150211-2,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
tp53bp2a,TP53BP2,TP53BP2,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040516-8,AA,ZDB-PUB-050823-6;ZDB-PUB-140220-26,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
tp53bp2b,TP53BP2,TP53BP2,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050208-453,AA,ZDB-PUB-140220-26;ZDB-PUB-140821-3,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
unc5b,UNC5B,UNC5B,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-041213-1,AA;CL,ZDB-PUB-041029-10;ZDB-PUB-070827-10;ZDB-PUB-130710-94,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,True
anln,ANLN,ANLN,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-4486,AA,ZDB-PUB-030905-1;ZDB-PUB-140513-261,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
anp32e,ANP32E,ANP32E,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-2448,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
aurka,AURKA,AURKA,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040801-161,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-100719-49;ZDB-PUB-130204-4,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
aurkb,AURKB,AURKB,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-020419-40,AA;CL,ZDB-PUB-020723-5;ZDB-PUB-090629-17,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
