zebrafish_gene,human_gene,source_gene,marker_class,marker_subclass,mapping_direction,mapping_database,evidence_status,pathway_sources,n_external_sources,selection_rule,zfin_ids,zfin_evidence_codes,zfin_publications,source_urls,zebrafish_gene_database,adata_gene,present_in_adata,raw_count_detection_fraction,passes_detection_filter
dab2ipa,DAB2IP,DAB2IP,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-081104-516,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-101222-14,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,dab2ipa,dab2ipa,True,0.048838923700700164,True
dab2ipb,DAB2IP,DAB2IP,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-2449,AA;CL,ZDB-PUB-050823-6;ZDB-PUB-061031-2,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,dab2ipb,dab2ipb,True,0.044231478068558684,True
fadd,FADD,FADD,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070606-3,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,fadd,fadd,True,0.10578695171396886,True
fas,FAS,FAS,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-061019-2,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,fas,fas,True,0.03814964983413193,True
faslg,FASLG,FASLG,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070410-16,AA;CL;PT,ZDB-PUB-030905-1;ZDB-PUB-090716-24;ZDB-PUB-150325-24;ZDB-PUB-211003-9,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,faslg,faslg,True,0.039255436785845886,True
tnfrsf1a,TNFRSF1A,TNFRSF1A,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-2252,AA;CL,ZDB-PUB-030905-1,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,tnfrsf1a,tnfrsf1a,True,0.23884998157022336,True
tnfsf10,TNFSF10,TNFSF10,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040718-335,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-150325-24,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,tnfsf10,tnfsf10,True,0.021194249907851095,True
tnfsf10l,TNFSF10,TNFSF10,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-010801-1,AA,ZDB-PUB-050823-6,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,tnfsf10l,tnfsf10l,True,0.07611500184297773,True
tradd,TRADD,TRADD,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000511-5,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,tradd,tradd,True,0.23479542941393855,True
aifm1,AIFM1,AIFM1,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030826-11,AA,ZDB-PUB-030905-1,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,aifm1,aifm1,True,0.26557316623664595,True
apaf1,APAF1,APAF1,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000616-4,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-071129-8,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,apaf1,apaf1,True,0.118687799483965,True
badb,BAD,BAD,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000616-1,AA;CL,ZDB-PUB-010813-1;ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,badb,badb,True,0.161260597124955,True
baxa,BAX,BAX,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000511-6,AA;CL;PT,ZDB-PUB-030905-1;ZDB-PUB-060816-5;ZDB-PUB-160407-7,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,baxa,baxa,True,0.010689273866568368,True
baxb,BAX,BAX,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050227-21,AA;CL;PT,ZDB-PUB-060816-5;ZDB-PUB-160407-7,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,baxb,baxb,True,0.10578695171396886,True
bbc3,BBC3,BBC3,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070119-4,AA;CL,ZDB-PUB-060816-5;ZDB-PUB-121012-30,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,bbc3,bbc3,True,0.0455215628455583,True
bcl2l11,BCL2L11,BCL2L11,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-081008-1,AA,ZDB-PUB-080415-12,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,bcl2l11,bcl2l11,True,0.009767784740140064,True
bida,BID,BID,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050419-35,AA,ZDB-PUB-060816-5,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,bida,bida,True,0.3897899004791896,True
bnip3la,BNIP3L,BNIP3L,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,previous_reviewed_core_panel,0,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-2283,AA;CL,ZDB-PUB-030905-1,https://zfin.org/downloads/human_orthos.txt,bnip3la,bnip3la,True,0.04312569111684473,True
bnip3lb,BNIP3L,BNIP3L,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,previous_reviewed_core_panel,0,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040325-1,AA;CL,ZDB-PUB-030905-1,https://zfin.org/downloads/human_orthos.txt,bnip3lb,bnip3lb,True,0.2969037965352104,True
casp9,CASP9,CASP9,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030825-5,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,casp9,casp9,True,0.07869517139697696,True
diablob,DIABLO,DIABLO,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070112-202,AA,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,diablob,diablob,True,0.2681533357906454,True
endog,ENDOG,ENDOG,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050522-402,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-101222-14,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,endog,endog,True,0.16955399926281028,True
OMA1,OMA1,OMA1,apoptosis,intrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-091204-124,AA;CL;PT,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,OMA1,oma1,True,0.041651308514559456,True
dap3,DAP3,DAP3,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,previous_reviewed_core_panel,0,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-051129-2,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-150918-13,https://zfin.org/downloads/human_orthos.txt,dap3,dap3,True,0.3383708072244868,True
dapk1,DAPK1,DAPK1,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-060526-177,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-120706-8,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,dapk1,dapk1,True,0.13693328418724615,True
dapk2a,DAPK2,DAPK2,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-080402-8,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,dapk2a,dapk2a,True,0.018982676004423143,True
dapk3,DAPK3,DAPK3,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-3026,AA;CL;NT,ZDB-PUB-050823-6;ZDB-PUB-071029-6;ZDB-PUB-140702-3,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,dapk3,dapk3,True,0.035200884629561384,True
ddit3,DDIT3,DDIT3,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070410-90,AA;CL;PT,ZDB-PUB-030905-1;ZDB-PUB-160925-2,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,ddit3,ddit3,True,0.22668632510136894,True
eif2ak3,EIF2AK3,EIF2AK3,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050414-2,AA;CL,ZDB-PUB-030905-1,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,eif2ak3,eif2ak3,True,0.07685219314412037,True
map3k5,MAP3K5,MAP3K5,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030827-3,AA;CL;PT,ZDB-PUB-030905-1;ZDB-PUB-140513-246;ZDB-PUB-160816-2,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,map3k5,map3k5,True,0.08311831920383278,True
prkcda,PRKCD,PRKCD,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-6503,AA;CL;NT;PT,ZDB-PUB-030905-1;ZDB-PUB-181109-11,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,prkcda,prkcda,True,0.12919277552524788,True
prkcdb,PRKCD,PRKCD,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-111129-1,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,prkcdb,prkcdb,True,0.18669369701437788,True
tp53,TP53,TP53,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-990415-270,AA;CL;OT,ZDB-PUB-001205-3;ZDB-PUB-050105-1;ZDB-PUB-050823-6;ZDB-PUB-051207-21;ZDB-PUB-060124-13;ZDB-PUB-140513-455;ZDB-PUB-140905-12;ZDB-PUB-150211-2,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,tp53,tp53,True,0.4452635458901772,True
tp53bp2a,TP53BP2,TP53BP2,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040516-8,AA,ZDB-PUB-050823-6;ZDB-PUB-140220-26,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,tp53bp2a,tp53bp2a,True,0.04902322152598582,True
tp53bp2b,TP53BP2,TP53BP2,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050208-453,AA,ZDB-PUB-140220-26;ZDB-PUB-140821-3,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,tp53bp2b,tp53bp2b,True,0.025248802064135673,True
unc5b,UNC5B,UNC5B,apoptosis,stress_pro_apoptotic,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-041213-1,AA;CL,ZDB-PUB-041029-10;ZDB-PUB-070827-10;ZDB-PUB-130710-94,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,unc5b,unc5b,True,0.01879837817913748,True
